date,pred,calculated_at
2021-01-02,1713.2241,2024-08-22 20:59:19.117830
2021-01-03,1104.5127,2024-08-22 20:59:19.117830
2021-01-04,4517.9443,2024-08-22 20:59:19.117830
2021-01-05,4647.8335,2024-08-22 20:59:19.117830
2021-01-06,4172.568,2024-08-22 20:59:19.117830
2021-01-07,2558.367,2024-08-22 05:55:47.586445
2021-01-08,1267.3354,2024-08-22 05:55:47.586445
2021-01-09,1243.2906,2024-08-22 05:55:47.586445
2021-01-10,560.33887,2024-08-22 05:55:47.586445
2021-01-11,3636.7075,2024-08-22 05:55:47.586445
2021-01-12,3695.6394,2024-08-22 05:55:47.586445
2021-01-13,3665.0862,2024-08-22 05:55:47.586445
2021-01-14,4086.1526,2024-08-22 11:07:59.718140
2021-01-15,2962.9426,2024-08-22 11:07:59.718140
2021-01-16,1648.6229,2024-08-22 11:07:59.718140
2021-01-17,1224.6735,2024-08-22 11:07:59.718140
2021-01-18,4216.7197,2024-08-22 11:07:59.718140
2021-01-19,4270.489,2024-08-22 11:07:59.718140
2021-01-20,4310.897,2024-08-22 11:07:59.718140
2021-01-21,4069.8174,2024-08-22 05:06:57.088416
2021-01-22,2690.3696,2024-08-22 05:06:57.088416
2021-01-23,2038.4427,2024-08-22 05:06:57.088416
2021-01-24,630.5657,2024-08-22 05:06:57.088416
2021-01-25,4354.0527,2024-08-22 05:06:57.088416
2021-01-26,4351.926,2024-08-22 05:06:57.088416
2021-01-27,4041.403,2024-08-22 05:06:57.088416
2021-01-28,3139.4426,2024-08-22 00:25:01.321677
2021-01-29,2994.2112,2024-08-22 00:25:01.321677
2021-01-30,1496.6702,2024-08-22 00:25:01.321677
2021-01-31,319.7566,2024-08-22 00:25:01.321677
2021-02-01,3634.443,2024-08-22 00:25:01.321677
2021-02-02,4349.439,2024-08-22 00:25:01.321677
2021-02-03,4671.855,2024-08-22 00:25:01.321677
2021-02-04,4054.1152,2024-08-22 01:45:53.147522
2021-02-05,3312.3347,2024-08-22 01:45:53.147522
2021-02-06,1732.0465,2024-08-22 01:45:53.147522
2021-02-07,794.73096,2024-08-22 01:45:53.147522
2021-02-08,4305.204,2024-08-22 01:45:53.147522
2021-02-09,4464.4053,2024-08-22 01:45:53.147522
2021-02-10,4682.0654,2024-08-22 01:45:53.147522
2021-02-11,3820.0154,2024-08-23 04:15:41.175440
2021-02-12,3170.9148,2024-08-23 04:15:41.175440
2021-02-13,1581.0665,2024-08-23 04:15:41.175440
2021-02-14,60.94336,2024-08-23 04:15:41.175440
2021-02-15,3816.8604,2024-08-23 04:15:41.175440
2021-02-16,3919.6877,2024-08-23 04:15:41.175440
2021-02-17,3844.1887,2024-08-23 04:15:41.175440
2021-02-18,3446.3772,2024-08-22 19:02:22.823885
2021-02-19,2363.9397,2024-08-22 19:02:22.823885
2021-02-20,1942.3029,2024-08-22 19:02:22.823885
2021-02-21,359.4646,2024-08-22 19:02:22.823885
2021-02-22,3801.06,2024-08-22 19:02:22.823885
2021-02-23,3493.3286,2024-08-22 19:02:22.823885
2021-02-24,3281.1584,2024-08-22 19:02:22.823885
2021-02-25,3427.2646,2024-08-22 06:31:31.795760
2021-02-26,2654.3794,2024-08-22 06:31:31.795760
2021-02-27,1726.2882,2024-08-22 06:31:31.795760
2021-02-28,679.0227,2024-08-22 06:31:31.795760
2021-03-01,3865.742,2024-08-22 06:31:31.795760
2021-03-02,3866.7087,2024-08-22 06:31:31.795760
2021-03-03,3448.8398,2024-08-22 06:31:31.795760
2021-03-04,3622.1895,2024-08-22 02:58:41.437425
2021-03-05,2414.5002,2024-08-22 02:58:41.437425
2021-03-06,876.59937,2024-08-22 02:58:41.437425
2021-03-07,34.146973,2024-08-22 02:58:41.437425
2021-03-08,3824.58,2024-08-22 02:58:41.437425
2021-03-09,3538.6252,2024-08-22 02:58:41.437425
2021-03-10,3394.6104,2024-08-22 02:58:41.437425
2021-03-11,3576.6067,2024-08-21 23:48:26.465252
2021-03-12,2461.1865,2024-08-21 23:48:26.465252
2021-03-13,1523.1648,2024-08-21 23:48:26.465252
2021-03-14,580.54224,2024-08-21 23:48:26.465252
2021-03-15,3923.5583,2024-08-21 23:48:26.465252
2021-03-16,3975.485,2024-08-21 23:48:26.465252
2021-03-17,3950.6494,2024-08-21 23:48:26.465252
2021-03-18,4536.202,2024-08-22 05:46:41.589928
2021-03-19,3427.0664,2024-08-22 05:46:41.589928
2021-03-20,1327.4941,2024-08-22 05:46:41.589928
2021-03-21,439.40527,2024-08-22 05:46:41.589928
2021-03-22,4277.5225,2024-08-22 05:46:41.589928
2021-03-23,3864.152,2024-08-22 05:46:41.589928
2021-03-24,3937.7354,2024-08-22 05:46:41.589928
2021-03-25,2987.7822,2024-08-22 01:43:11.398997
2021-03-26,3396.4285,2024-08-22 01:43:11.398997
2021-03-27,1446.1111,2024-08-22 01:43:11.398997
2021-03-28,769.45703,2024-08-22 01:43:11.398997
2021-03-29,4143.322,2024-08-22 01:43:11.398997
2021-03-30,3803.1245,2024-08-22 01:43:11.398997
2021-03-31,2024.3629,2024-08-22 01:43:11.398997
2021-04-01,2981.0198,2024-08-22 06:28:48.936343
2021-04-02,2648.3977,2024-08-22 06:28:48.936343
2021-04-03,1445.8796,2024-08-22 06:28:48.936343
2021-04-04,173.55469,2024-08-22 06:28:48.936343
2021-04-05,3650.5688,2024-08-22 06:28:48.936343
2021-04-06,3672.9802,2024-08-22 06:28:48.936343
2021-04-07,3915.1694,2024-08-22 06:28:48.936343
2021-04-08,4192.0645,2024-08-23 02:54:11.479794
2021-04-09,2385.4534,2024-08-23 02:54:11.479794
2021-04-10,1866.9956,2024-08-23 02:54:11.479794
