date,cantidad_entregas,is_holiday,holiday_name,weekday,tipo_feriado
2021-03-01,3482,false,,1,0
2021-03-02,3685,false,,2,0
2021-03-03,3920,false,,3,0
2021-03-04,3684,false,,4,0
2021-03-05,3431,false,,5,0
2021-03-06,1472,false,,6,-1
2021-03-07,361,false,,7,-1
2021-03-08,4268,false,,1,0
2021-03-09,4152,false,,2,0
2021-03-10,4091,false,,3,0
2021-03-11,4728,false,,4,0
2021-03-12,4230,false,,5,0
2021-03-13,1633,false,,6,-1
2021-03-14,505,false,,7,-1
2021-03-15,4026,false,,1,0
2021-03-16,4517,false,,2,0
2021-03-17,4445,false,,3,0
2021-03-18,4224,false,,4,0
2021-03-19,4117,false,,5,0
2021-03-20,1647,false,,6,-1
2021-03-21,476,false,,7,-1
2021-03-22,3774,false,,1,0
2021-03-23,3809,false,,2,0
2021-03-24,1581,true,Memorial Day,3,1
2021-03-25,3739,false,,4,0
2021-03-26,3479,false,,5,0
2021-03-27,1421,true,Passover Eve,6,2
2021-03-28,420,true,First day of Passover,7,2
2021-03-29,3535,true,Second Day of Passover,1,2
2021-03-30,3447,false,,2,0
2021-03-31,3283,false,,3,0
2021-04-01,2869,true,Maundy Thursday,4,2
2021-04-02,889,true,Good Friday,5,2
2021-04-02,889,true,Day of the Veterans,5,1
2021-04-02,889,true,Sixth Day of Passover,5,2
2021-04-03,1223,true,Seventh Day of Passover,6,2
2021-04-04,438,true,Easter Sunday,7,2
2021-04-04,438,true,Last day of Passover,7,2
2021-04-05,3709,false,,1,0
2021-04-06,3804,false,,2,0
2021-04-07,4051,false,,3,0
2021-04-08,4107,false,,4,0
2021-04-09,3646,false,,5,0
2021-04-10,1710,false,,6,-1
2021-04-11,518,false,,7,-1
2021-04-12,3828,false,,1,0
2021-04-13,3746,false,,2,0
2021-04-14,5195,false,,3,0
2021-04-15,4646,false,,4,0
2021-04-16,4835,false,,5,0
2021-04-17,2358,false,,6,-1
2021-04-18,674,false,,7,-1
2021-04-19,4224,false,,1,0
2021-04-20,4311,false,,2,0
2021-04-21,3971,false,,3,0
2021-04-22,3721,false,,4,0
2021-04-23,3512,false,,5,0
2021-04-24,1407,true,Action Day for Tolerance and Respect between People,6,2
2021-04-25,501,false,,7,-1
2021-04-26,3581,false,,1,0
2021-04-27,3580,false,,2,0
2021-04-28,3457,false,,3,0
2021-04-29,3310,false,,4,0
2021-04-30,3350,false,,5,0
2021-05-01,653,true,Labor Day / May Day,6,2
2021-05-02,442,false,,7,-1
2021-05-03,3106,false,,1,0
2021-05-04,3819,false,,2,0
2021-05-05,3105,false,,3,0
2021-05-06,3123,false,,4,0
2021-05-07,2912,false,,5,0
2021-05-08,1419,false,,6,-1
2021-05-09,421,false,,7,-1
2021-05-10,3780,false,,1,0
2021-05-11,3744,false,,2,0
2021-05-12,4372,false,,3,0
2021-05-13,3847,true,End of Ramadan,4,2
2021-05-14,3758,false,,5,0
2021-05-15,1777,false,,6,-1
2021-05-16,567,false,,7,-1
2021-05-17,3652,false,,1,0
2021-05-18,4404,false,,2,0
2021-05-19,3227,false,,3,0
2021-05-20,3252,false,,4,0
2021-05-21,2904,false,,5,0
2021-05-22,1331,false,,6,-1
2021-05-23,420,false,,7,-1
2021-05-24,1300,true,Tourist Bridge Holiday,1,1
2021-05-25,1060,true,National Day/May 1810 Revolution,2,2
2021-05-26,3314,false,,3,0
2021-05-27,3383,false,,4,0
2021-05-28,3235,false,,5,0
2021-05-29,1484,false,,6,-1
2021-05-30,516,false,,7,-1
2021-05-31,3690,false,,1,0
2021-06-01,3343,false,,2,0
2021-06-02,3346,false,,3,0
2021-06-03,4296,false,,4,0
2021-06-04,3766,false,,5,0
